INPUT SPACE DOWN
TRACE_ACTIVE_AFTER_SPACE
HUDCMD_032 all=0073 op=D0 lop=0 sx=184 sy=256 dx=240 dy=032 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=F020 HL=0808
HUDCMD_033 all=0074 op=D0 lop=0 sx=120 sy=256 dx=248 dy=032 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=F820 HL=0808
HUDCMD_034 all=0075 op=D0 lop=0 sx=128 sy=264 dx=000 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=0028 HL=0808
HUDCMD_035 all=0076 op=D0 lop=0 sx=136 sy=264 dx=008 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=0828 HL=0808
HUDCMD_036 all=0077 op=D0 lop=0 sx=144 sy=264 dx=016 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=1028 HL=0808
HUDCMD_037 all=0078 op=D0 lop=0 sx=152 sy=264 dx=024 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=1828 HL=0808
HUDCMD_038 all=0079 op=D0 lop=0 sx=096 sy=280 dx=032 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=2028 HL=0808
HUDCMD_039 all=0080 op=D0 lop=0 sx=104 sy=280 dx=040 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=2828 HL=0808
HUDCMD_040 all=0081 op=D0 lop=0 sx=112 sy=280 dx=048 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=3028 HL=0808
HUDCMD_041 all=0082 op=D0 lop=0 sx=120 sy=280 dx=056 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=3828 HL=0808
HUDCMD_042 all=0083 op=D0 lop=0 sx=128 sy=256 dx=064 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=4028 HL=0808
HUDCMD_043 all=0084 op=D0 lop=0 sx=136 sy=256 dx=072 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=4828 HL=0808
HUDCMD_044 all=0085 op=D0 lop=0 sx=128 sy=256 dx=080 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=5028 HL=0808
HUDCMD_045 all=0086 op=D0 lop=0 sx=136 sy=256 dx=088 dy=040 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=5828 HL=0808
