ROM Vampire Killer SHA1 5EF7D03B138A2023F6DEF241B671C666F97ED83B
MACHINE C-BIOS_MSX2+
EXTENSIONS ERROR wrong # args: should be "ext extension"
DEBUG_LIST {VDP palette} ioports joystickports {Printer Port} {PSG regs} {VDP status regs} {VDP register latch status} {C-BIOS Main ROM romblocks} {C-BIOS MSX-MUSIC regs} {slotted memory} keymatrix {physical VRAM} {Main RAM regs} {C-BIOS Logo ROM romblocks} MapperIO {VDP palette latch status} {Vampire Killer - Akumaj? Dracula} {VDP regs} memory VRAM {C-BIOS Main ROM} {C-BIOS Sub ROM} {C-BIOS Logo ROM} {C-BIOS Sub ROM romblocks} {VDP data latch value} {CPU regs} {Vampire Killer - Akumaj? Dracula romblocks} {VRAM access status} {C-BIOS MSX-MUSIC ROM} {Main RAM} {VRAM pointer} {Real time clock SRAM}
VDP_CTRL_117_VAL_02 PC=09D3 SP=F2D4 AF=02A1 BC=002E DE=0FD9 HL=0000
VDP_CTRL_118_VAL_8F PC=09D7 SP=F2D4 AF=8FA1 BC=002E DE=0FD9 HL=0000
VDP_CTRL_119_VAL_00 PC=09DD SP=F2D2 AF=0044 BC=002E DE=0FD9 HL=0000
VDP_CTRL_120_VAL_8F PC=09E1 SP=F2D2 AF=8F44 BC=002E DE=0FD9 HL=0000
SHOT_02S PC=1130 SP=F2FE AF=8E44 BC=599A DE=82D2 HL=FAFC
SHOT boot_02s.png
MAP_WRITE_009_ADDR_6000_VAL_01 PC=533D SP=F0EC AF=0180 BC=0000 DE=F0F0 HL=F0F1
MAP_WRITE_010_ADDR_8000_VAL_02 PC=5342 SP=F0EC AF=0200 BC=0000 DE=F0F0 HL=F0F1
MAP_WRITE_011_ADDR_A000_VAL_03 PC=5348 SP=F0EC AF=0300 BC=0000 DE=F0F0 HL=F0F2
MAP_WRITE_012_ADDR_6000_VAL_01 PC=533D SP=F0EC AF=0144 BC=0004 DE=5CE9 HL=F0F1
MAP_WRITE_013_ADDR_8000_VAL_02 PC=5342 SP=F0EC AF=0200 BC=0004 DE=5CE9 HL=F0F1
MAP_WRITE_014_ADDR_A000_VAL_03 PC=5348 SP=F0EC AF=0300 BC=0004 DE=5CE9 HL=F0F2
INPUT SPACE DOWN
MAP_WRITE_015_ADDR_8000_VAL_0E PC=4033 SP=F0D8 AF=0E44 BC=04F3 DE=01FF HL=247A
MAP_WRITE_016_ADDR_A000_VAL_0F PC=4038 SP=F0D8 AF=0F44 BC=04F3 DE=01FF HL=247A
PSG_IDX_011_VAL_07 PC=1807 SP=F0D4 AF=0744 BC=04F3 DE=01BC HL=247A
PSG_DAT_012_VAL_BC PC=180B SP=F0D2 AF=BC44 BC=04F3 DE=01BC HL=247A
PSG_IDX_013_VAL_08 PC=1807 SP=F0D4 AF=0808 BC=00F3 DE=8900 HL=C011
PSG_DAT_014_VAL_00 PC=180B SP=F0D2 AF=0008 BC=00F3 DE=8900 HL=C011
PSG_IDX_015_VAL_09 PC=1807 SP=F0D4 AF=0908 BC=01F3 DE=8900 HL=C013
PSG_DAT_016_VAL_00 PC=180B SP=F0D2 AF=0008 BC=01F3 DE=8900 HL=C013
PSG_IDX_017_VAL_0A PC=1807 SP=F0D4 AF=0A08 BC=02F3 DE=8900 HL=C015
PSG_DAT_018_VAL_00 PC=180B SP=F0D2 AF=0008 BC=02F3 DE=8900 HL=C015
PSG_IDX_019_VAL_0A PC=1807 SP=F0D6 AF=0A08 BC=03F3 DE=8900 HL=C017
PSG_DAT_020_VAL_00 PC=180B SP=F0D4 AF=0008 BC=03F3 DE=8900 HL=C017
MAP_WRITE_017_ADDR_8000_VAL_02 PC=4042 SP=F0D8 AF=0208 BC=03F3 DE=8900 HL=C017
MAP_WRITE_018_ADDR_A000_VAL_03 PC=4048 SP=F0D8 AF=0308 BC=03F3 DE=8900 HL=C017
MAP_WRITE_019_ADDR_8000_VAL_09 PC=5380 SP=F0CE AF=09A8 BC=0008 DE=0062 HL=F0F2
MAP_WRITE_020_ADDR_A000_VAL_0A PC=5386 SP=F0CE AF=0A08 BC=0008 DE=0062 HL=F0F3
MAP_WRITE_021_ADDR_6000_VAL_01 PC=533D SP=F0CE AF=0150 BC=0008 DE=0700 HL=F0F1
MAP_WRITE_022_ADDR_8000_VAL_02 PC=5342 SP=F0CE AF=0200 BC=0008 DE=0700 HL=F0F1
MAP_WRITE_023_ADDR_A000_VAL_03 PC=5348 SP=F0CE AF=0300 BC=0008 DE=0700 HL=F0F2
MAP_WRITE_024_ADDR_8000_VAL_0E PC=4033 SP=F0B6 AF=0E44 BC=0008 DE=01D9 HL=4028
MAP_WRITE_025_ADDR_A000_VAL_0F PC=4038 SP=F0B6 AF=0F44 BC=0008 DE=01D9 HL=4028
PSG_IDX_021_VAL_07 PC=1807 SP=F0B2 AF=0744 BC=0008 DE=01BC HL=4028
PSG_DAT_022_VAL_BC PC=180B SP=F0B0 AF=BC44 BC=0008 DE=01BC HL=4028
MAP_WRITE_026_ADDR_8000_VAL_02 PC=4042 SP=F0B6 AF=0244 BC=0308 DE=01BC HL=89F1
MAP_WRITE_027_ADDR_A000_VAL_03 PC=4048 SP=F0B6 AF=0344 BC=0308 DE=01BC HL=89F1
MAP_WRITE_028_ADDR_8000_VAL_0E PC=4033 SP=F0B0 AF=0E44 BC=0008 DE=01D9 HL=4028
MAP_WRITE_029_ADDR_A000_VAL_0F PC=4038 SP=F0B0 AF=0F44 BC=0008 DE=01D9 HL=4028
PSG_IDX_023_VAL_07 PC=1807 SP=F0AC AF=0744 BC=0008 DE=01BC HL=4028
PSG_DAT_024_VAL_BC PC=180B SP=F0AA AF=BC44 BC=0008 DE=01BC HL=4028
MAP_WRITE_030_ADDR_8000_VAL_02 PC=4042 SP=F0B0 AF=0244 BC=0308 DE=01BC HL=89F1
MAP_WRITE_031_ADDR_A000_VAL_03 PC=4048 SP=F0B0 AF=0344 BC=0308 DE=01BC HL=89F1
MAP_WRITE_032_ADDR_8000_VAL_0E PC=4033 SP=F0B4 AF=0E44 BC=0008 DE=01D9 HL=4028
MAP_WRITE_033_ADDR_A000_VAL_0F PC=4038 SP=F0B4 AF=0F44 BC=0008 DE=01D9 HL=4028
PSG_IDX_025_VAL_07 PC=1807 SP=F0B0 AF=0744 BC=0008 DE=01BC HL=4028
PSG_DAT_026_VAL_BC PC=180B SP=F0AE AF=BC44 BC=0008 DE=01BC HL=4028
MAP_WRITE_034_ADDR_8000_VAL_02 PC=4042 SP=F0B4 AF=0244 BC=0308 DE=01BC HL=89F1
MAP_WRITE_035_ADDR_A000_VAL_03 PC=4048 SP=F0B4 AF=0344 BC=0308 DE=01BC HL=89F1
MAP_WRITE_036_ADDR_6000_VAL_0B PC=5368 SP=F0CE AF=0B44 BC=A89B DE=0107 HL=F0F1
MAP_WRITE_037_ADDR_8000_VAL_0C PC=536E SP=F0CE AF=0C08 BC=A89B DE=0107 HL=F0F2
MAP_WRITE_038_ADDR_A000_VAL_0D PC=5374 SP=F0CE AF=0D08 BC=A89B DE=0107 HL=F0F3
MAP_WRITE_039_ADDR_8000_VAL_0E PC=4033 SP=F0A6 AF=0E44 BC=0008 DE=01D9 HL=4028
MAP_WRITE_040_ADDR_A000_VAL_0F PC=4038 SP=F0A6 AF=0F44 BC=0008 DE=01D9 HL=4028
PSG_IDX_027_VAL_07 PC=1807 SP=F0A2 AF=0744 BC=0008 DE=01BC HL=4028
PSG_DAT_028_VAL_BC PC=180B SP=F0A0 AF=BC44 BC=0008 DE=01BC HL=4028
MAP_WRITE_041_ADDR_8000_VAL_0C PC=4042 SP=F0A6 AF=0C44 BC=0308 DE=01BC HL=89F1
MAP_WRITE_042_ADDR_A000_VAL_0D PC=4048 SP=F0A6 AF=0D44 BC=0308 DE=01BC HL=89F1
MAP_WRITE_043_ADDR_8000_VAL_0E PC=4033 SP=F0A6 AF=0E44 BC=0008 DE=01D9 HL=4028
MAP_WRITE_044_ADDR_A000_VAL_0F PC=4038 SP=F0A6 AF=0F44 BC=0008 DE=01D9 HL=4028
PSG_IDX_029_VAL_07 PC=1807 SP=F0A2 AF=0744 BC=0008 DE=01BC HL=4028
PSG_DAT_030_VAL_BC PC=180B SP=F0A0 AF=BC44 BC=0008 DE=01BC HL=4028
MAP_WRITE_045_ADDR_8000_VAL_0C PC=4042 SP=F0A6 AF=0C44 BC=0308 DE=01BC HL=89F1
MAP_WRITE_046_ADDR_A000_VAL_0D PC=4048 SP=F0A6 AF=0D44 BC=0308 DE=01BC HL=89F1
MAP_WRITE_047_ADDR_8000_VAL_0E PC=4033 SP=F0A2 AF=0E44 BC=0008 DE=01D9 HL=4028
MAP_WRITE_048_ADDR_A000_VAL_0F PC=4038 SP=F0A2 AF=0F44 BC=0008 DE=01D9 HL=4028
PSG_IDX_031_VAL_07 PC=1807 SP=F09E AF=0744 BC=0008 DE=01BC HL=4028
PSG_DAT_032_VAL_BC PC=180B SP=F09C AF=BC44 BC=0008 DE=01BC HL=4028
MAP_WRITE_049_ADDR_8000_VAL_0C PC=4042 SP=F0A2 AF=0C44 BC=0308 DE=01BC HL=89F1
MAP_WRITE_050_ADDR_A000_VAL_0D PC=4048 SP=F0A2 AF=0D44 BC=0308 DE=01BC HL=89F1
MAP_WRITE_051_ADDR_8000_VAL_0E PC=4033 SP=F0A6 AF=0E44 BC=0008 DE=01D9 HL=4028
MAP_WRITE_052_ADDR_A000_VAL_0F PC=4038 SP=F0A6 AF=0F44 BC=0008 DE=01D9 HL=4028
PSG_IDX_033_VAL_07 PC=1807 SP=F0A2 AF=0744 BC=0008 DE=01BC HL=4028
PSG_DAT_034_VAL_BC PC=180B SP=F0A0 AF=BC44 BC=0008 DE=01BC HL=4028
MAP_WRITE_053_ADDR_8000_VAL_0C PC=4042 SP=F0A6 AF=0C44 BC=0308 DE=01BC HL=89F1
MAP_WRITE_054_ADDR_A000_VAL_0D PC=4048 SP=F0A6 AF=0D44 BC=0308 DE=01BC HL=89F1
INPUT SPACE UP
MAP_WRITE_055_ADDR_8000_VAL_0E PC=4033 SP=F0A6 AF=0E44 BC=0008 DE=01D9 HL=4028
MAP_WRITE_056_ADDR_A000_VAL_0F PC=4038 SP=F0A6 AF=0F44 BC=0008 DE=01D9 HL=4028
PSG_IDX_035_VAL_07 PC=1807 SP=F0A2 AF=0744 BC=0008 DE=01BC HL=4028
PSG_DAT_036_VAL_BC PC=180B SP=F0A0 AF=BC44 BC=0008 DE=01BC HL=4028
MAP_WRITE_057_ADDR_8000_VAL_0C PC=4042 SP=F0A6 AF=0C44 BC=0308 DE=01BC HL=89F1
MAP_WRITE_058_ADDR_A000_VAL_0D PC=4048 SP=F0A6 AF=0D44 BC=0308 DE=01BC HL=89F1
MAP_WRITE_059_ADDR_8000_VAL_0E PC=4033 SP=F0A6 AF=0E44 BC=0008 DE=01D9 HL=4028
MAP_WRITE_060_ADDR_A000_VAL_0F PC=4038 SP=F0A6 AF=0F44 BC=0008 DE=01D9 HL=4028
PSG_IDX_037_VAL_07 PC=1807 SP=F0A2 AF=0744 BC=0008 DE=01BC HL=4028
PSG_DAT_038_VAL_BC PC=180B SP=F0A0 AF=BC44 BC=0008 DE=01BC HL=4028
MAP_WRITE_061_ADDR_8000_VAL_0C PC=4042 SP=F0A6 AF=0C44 BC=0308 DE=01BC HL=89F1
MAP_WRITE_062_ADDR_A000_VAL_0D PC=4048 SP=F0A6 AF=0D44 BC=0308 DE=01BC HL=89F1
MAP_WRITE_063_ADDR_8000_VAL_0E PC=4033 SP=F0A4 AF=0E44 BC=0008 DE=01D9 HL=4028
MAP_WRITE_064_ADDR_A000_VAL_0F PC=4038 SP=F0A4 AF=0F44 BC=0008 DE=01D9 HL=4028
PSG_IDX_039_VAL_07 PC=1807 SP=F0A0 AF=0744 BC=0008 DE=01BC HL=4028
PSG_DAT_040_VAL_BC PC=180B SP=F09E AF=BC44 BC=0008 DE=01BC HL=4028
MAP_WRITE_065_ADDR_8000_VAL_0C PC=4042 SP=F0A4 AF=0C44 BC=0308 DE=01BC HL=89F1
MAP_WRITE_066_ADDR_A000_VAL_0D PC=4048 SP=F0A4 AF=0D44 BC=0308 DE=01BC HL=89F1
MAP_WRITE_067_ADDR_8000_VAL_0E PC=4033 SP=F0A6 AF=0E44 BC=0008 DE=01D9 HL=4028
MAP_WRITE_068_ADDR_A000_VAL_0F PC=4038 SP=F0A6 AF=0F44 BC=0008 DE=01D9 HL=4028
PSG_IDX_041_VAL_07 PC=1807 SP=F0A2 AF=0744 BC=0008 DE=01BC HL=4028
PSG_DAT_042_VAL_BC PC=180B SP=F0A0 AF=BC44 BC=0008 DE=01BC HL=4028
MAP_WRITE_069_ADDR_8000_VAL_0C PC=4042 SP=F0A6 AF=0C44 BC=0308 DE=01BC HL=89F1
MAP_WRITE_070_ADDR_A000_VAL_0D PC=4048 SP=F0A6 AF=0D44 BC=0308 DE=01BC HL=89F1
MAP_WRITE_071_ADDR_6000_VAL_01 PC=533D SP=F0CE AF=01A8 BC=0003 DE=A808 HL=F0F1
MAP_WRITE_072_ADDR_8000_VAL_02 PC=5342 SP=F0CE AF=0200 BC=0003 DE=A808 HL=F0F1
MAP_WRITE_073_ADDR_A000_VAL_03 PC=5348 SP=F0CE AF=0300 BC=0003 DE=A808 HL=F0F2
MAP_WRITE_074_ADDR_8000_VAL_0E PC=4033 SP=F0AA AF=0E44 BC=0008 DE=01D9 HL=4028
MAP_WRITE_075_ADDR_A000_VAL_0F PC=4038 SP=F0AA AF=0F44 BC=0008 DE=01D9 HL=4028
PSG_IDX_043_VAL_07 PC=1807 SP=F0A6 AF=0744 BC=0008 DE=01BC HL=4028
PSG_DAT_044_VAL_BC PC=180B SP=F0A4 AF=BC44 BC=0008 DE=01BC HL=4028
MAP_WRITE_076_ADDR_8000_VAL_02 PC=4042 SP=F0AA AF=0244 BC=0308 DE=01BC HL=89F1
MAP_WRITE_077_ADDR_A000_VAL_03 PC=4048 SP=F0AA AF=0344 BC=0308 DE=01BC HL=89F1
MAP_WRITE_078_ADDR_8000_VAL_0E PC=4033 SP=F0AE AF=0E44 BC=0008 DE=01D9 HL=4028
MAP_WRITE_079_ADDR_A000_VAL_0F PC=4038 SP=F0AE AF=0F44 BC=0008 DE=01D9 HL=4028
PSG_IDX_045_VAL_07 PC=1807 SP=F0AA AF=0744 BC=0008 DE=01BC HL=4028
PSG_DAT_046_VAL_BC PC=180B SP=F0A8 AF=BC44 BC=0008 DE=01BC HL=4028
MAP_WRITE_080_ADDR_8000_VAL_02 PC=4042 SP=F0AE AF=0244 BC=0308 DE=01BC HL=89F1
PSG_IDX_047_VAL_0F PC=1807 SP=F0D2 AF=0F00 BC=0008 DE=308F HL=C001
PSG_DAT_048_VAL_8F PC=180B SP=F0D0 AF=8F00 BC=0008 DE=308F HL=C001
PSG_IDX_049_VAL_0E PC=1810 SP=F0D2 AF=0E00 BC=0008 DE=308F HL=C001
PSG_IDX_050_VAL_07 PC=1807 SP=F0D4 AF=0744 BC=04F3 DE=01BC HL=247A
PSG_DAT_051_VAL_BC PC=180B SP=F0D2 AF=BC44 BC=04F3 DE=01BC HL=247A
PSG_IDX_052_VAL_0F PC=1807 SP=F0D2 AF=0F44 BC=0000 DE=418F HL=C420
PSG_DAT_053_VAL_8F PC=180B SP=F0D0 AF=8F44 BC=0000 DE=418F HL=C420
PSG_IDX_054_VAL_0E PC=1810 SP=F0D2 AF=0E44 BC=0000 DE=418F HL=C420
PSG_IDX_055_VAL_07 PC=1807 SP=F0D4 AF=0744 BC=04F3 DE=01BC HL=247A
PSG_DAT_056_VAL_BC PC=180B SP=F0D2 AF=BC44 BC=04F3 DE=01BC HL=247A
PSG_IDX_057_VAL_0F PC=1807 SP=F0D2 AF=0F44 BC=A89B DE=288F HL=A801
PSG_DAT_058_VAL_8F PC=180B SP=F0D0 AF=8F44 BC=A89B DE=288F HL=A801
PSG_IDX_059_VAL_0E PC=1810 SP=F0D2 AF=0E44 BC=A89B DE=288F HL=A801
PSG_IDX_060_VAL_07 PC=1807 SP=F0D4 AF=0744 BC=04F3 DE=01BC HL=247A
PSG_DAT_061_VAL_BC PC=180B SP=F0D2 AF=BC44 BC=04F3 DE=01BC HL=247A
PSG_IDX_062_VAL_0F PC=1807 SP=F0D2 AF=0F44 BC=0000 DE=418F HL=C420
PSG_DAT_063_VAL_8F PC=180B SP=F0D0 AF=8F44 BC=0000 DE=418F HL=C420
PSG_IDX_064_VAL_0E PC=1810 SP=F0D2 AF=0E44 BC=0000 DE=418F HL=C420
PSG_IDX_065_VAL_07 PC=1807 SP=F0D4 AF=0744 BC=04F3 DE=01BC HL=247A
PSG_DAT_066_VAL_BC PC=180B SP=F0D2 AF=BC44 BC=04F3 DE=01BC HL=247A
PSG_IDX_067_VAL_0F PC=1807 SP=F0D2 AF=0F44 BC=A89B DE=288F HL=A802
PSG_DAT_068_VAL_8F PC=180B SP=F0D0 AF=8F44 BC=A89B DE=288F HL=A802
PSG_IDX_069_VAL_0E PC=1810 SP=F0D2 AF=0E44 BC=A89B DE=288F HL=A802
PSG_IDX_070_VAL_07 PC=1807 SP=F0D4 AF=0744 BC=04F3 DE=01BC HL=247A
PSG_DAT_071_VAL_BC PC=180B SP=F0D2 AF=BC44 BC=04F3 DE=01BC HL=247A
PSG_IDX_072_VAL_0F PC=1807 SP=F0D2 AF=0F44 BC=0000 DE=418F HL=C420
PSG_DAT_073_VAL_8F PC=180B SP=F0D0 AF=8F44 BC=0000 DE=418F HL=C420
PSG_IDX_074_VAL_0E PC=1810 SP=F0D2 AF=0E44 BC=0000 DE=418F HL=C420
PSG_IDX_075_VAL_07 PC=1807 SP=F0D4 AF=0744 BC=04F3 DE=01BC HL=247A
PSG_DAT_076_VAL_BC PC=180B SP=F0D2 AF=BC44 BC=04F3 DE=01BC HL=247A
PSG_IDX_077_VAL_0F PC=1807 SP=F0D2 AF=0F44 BC=A89B DE=288F HL=A803
PSG_DAT_078_VAL_8F PC=180B SP=F0D0 AF=8F44 BC=A89B DE=288F HL=A803
PSG_IDX_079_VAL_0E PC=1810 SP=F0D2 AF=0E44 BC=A89B DE=288F HL=A803
PSG_IDX_080_VAL_07 PC=1807 SP=F0D4 AF=0744 BC=04F3 DE=01BC HL=247A
SHOT_06S PC=40C3 SP=F0F0 AF=0044 BC=0008 DE=01D9 HL=4028
SHOT boot_06s.png
INPUT SPACE2 DOWN
INPUT SPACE2 UP
SHOT_10S PC=40C3 SP=F0F0 AF=0044 BC=0008 DE=01D9 HL=4028
SHOT boot_10s.png
COUNTS vdp_ctrl=38604 vdp_data=31746 psg=2274 mapper=1949
