ROM Vampire Killer SHA1 5EF7D03B138A2023F6DEF241B671C666F97ED83B
MACHINE C-BIOS_MSX2+
EXTENSIONS ERROR wrong # args: should be "ext extension"
DEBUG_LIST {VDP palette} ioports joystickports {Printer Port} {PSG regs} {VDP status regs} {VDP register latch status} {C-BIOS Main ROM romblocks} {C-BIOS MSX-MUSIC regs} {slotted memory} keymatrix {physical VRAM} {Main RAM regs} {C-BIOS Logo ROM romblocks} MapperIO {VDP palette latch status} {Vampire Killer - Akumaj? Dracula} {VDP regs} memory VRAM {C-BIOS Main ROM} {C-BIOS Sub ROM} {C-BIOS Logo ROM} {C-BIOS Sub ROM romblocks} {VDP data latch value} {CPU regs} {Vampire Killer - Akumaj? Dracula romblocks} {VRAM access status} {C-BIOS MSX-MUSIC ROM} {Main RAM} {VRAM pointer} {Real time clock SRAM}
VDP_DATA_024_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=E903 DE=83A0 HL=0000
VDP_DATA_025_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=E803 DE=83A0 HL=0000
VDP_DATA_026_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=E703 DE=83A0 HL=0000
VDP_DATA_027_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=E603 DE=83A0 HL=0000
VDP_DATA_028_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=E503 DE=83A0 HL=0000
VDP_DATA_029_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=E403 DE=83A0 HL=0000
VDP_DATA_030_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=E303 DE=83A0 HL=0000
VDP_DATA_031_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=E203 DE=83A0 HL=0000
VDP_DATA_032_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=E103 DE=83A0 HL=0000
VDP_DATA_033_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=E003 DE=83A0 HL=0000
VDP_DATA_034_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=DF03 DE=83A0 HL=0000
VDP_DATA_035_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=DE03 DE=83A0 HL=0000
VDP_DATA_036_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=DD03 DE=83A0 HL=0000
VDP_DATA_037_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=DC03 DE=83A0 HL=0000
VDP_DATA_038_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=DB03 DE=83A0 HL=0000
VDP_DATA_039_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=DA03 DE=83A0 HL=0000
VDP_DATA_040_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=D903 DE=83A0 HL=0000
VDP_DATA_041_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=D803 DE=83A0 HL=0000
VDP_DATA_042_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=D703 DE=83A0 HL=0000
VDP_DATA_043_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=D603 DE=83A0 HL=0000
VDP_DATA_044_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=D503 DE=83A0 HL=0000
VDP_DATA_045_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=D403 DE=83A0 HL=0000
VDP_DATA_046_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=D303 DE=83A0 HL=0000
VDP_DATA_047_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=D203 DE=83A0 HL=0000
VDP_DATA_048_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=D103 DE=83A0 HL=0000
VDP_DATA_049_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=D003 DE=83A0 HL=0000
VDP_DATA_050_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=CF03 DE=83A0 HL=0000
VDP_DATA_051_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=CE03 DE=83A0 HL=0000
VDP_DATA_052_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=CD03 DE=83A0 HL=0000
VDP_DATA_053_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=CC03 DE=83A0 HL=0000
VDP_DATA_054_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=CB03 DE=83A0 HL=0000
VDP_DATA_055_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=CA03 DE=83A0 HL=0000
VDP_DATA_056_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=C903 DE=83A0 HL=0000
VDP_DATA_057_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=C803 DE=83A0 HL=0000
VDP_DATA_058_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=C703 DE=83A0 HL=0000
VDP_DATA_059_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=C603 DE=83A0 HL=0000
VDP_DATA_060_VAL_20 PC=02A5 SP=F2FA AF=20A8 BC=C503 DE=83A0 HL=0000
