AFTER_PLAYER_SM pc=6186 sp=F358 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_ALL_SM pc=6189 sp=F358 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_SFX pc=6192 sp=F358 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_ANIM pc=6195 sp=F358 top=6198/6198 bank=06/06 irq=000E inirq=00
LOOP_START pc=6165 sp=F356 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_INPUT pc=6171 sp=F356 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_TIMER pc=6177 sp=F356 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_TRANSITION pc=617A sp=F356 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_ENTITIES pc=617D sp=F356 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_PLAYER_SM pc=6186 sp=F356 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_ALL_SM pc=6189 sp=F356 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_SFX pc=6192 sp=F356 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_ANIM pc=6195 sp=F356 top=6198/6198 bank=06/06 irq=000E inirq=00
LOOP_START pc=6165 sp=F354 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_INPUT pc=6171 sp=F354 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_TIMER pc=6177 sp=F354 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_TRANSITION pc=617A sp=F354 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_ENTITIES pc=617D sp=F354 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_PLAYER_SM pc=6186 sp=F354 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_ALL_SM pc=6189 sp=F354 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_SFX pc=6192 sp=F354 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_ANIM pc=6195 sp=F354 top=6198/6198 bank=06/06 irq=000E inirq=00
LOOP_START pc=6165 sp=F352 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_INPUT pc=6171 sp=F352 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_TIMER pc=6177 sp=F352 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_TRANSITION pc=617A sp=F352 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_ENTITIES pc=617D sp=F352 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_PLAYER_SM pc=6186 sp=F352 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_ALL_SM pc=6189 sp=F352 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_SFX pc=6192 sp=F352 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_ANIM pc=6195 sp=F352 top=6198/6198 bank=06/06 irq=000E inirq=00
LOOP_START pc=6165 sp=F350 top=6198/6198 bank=06/06 irq=000E inirq=00
AFTER_INPUT pc=6171 sp=F350 top=6198/6198 bank=06/06 irq=000E inirq=00
