BP_task_input_188 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=01EA inirq=00 input=00 btn=01 key8=FE joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,159,160 pos=8,80
BP_task_input_189 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=01EB inirq=00 input=00 btn=01 key8=FE joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,159,160 pos=8,80
BP_task_input_190 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=01EC inirq=00 input=00 btn=01 key8=FE joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,159,160 pos=8,80
BP_task_input_191 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=01ED inirq=00 input=00 btn=01 key8=FE joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,160,160 pos=8,80
BP_task_input_192 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=01EE inirq=00 input=00 btn=01 key8=FE joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,160,160 pos=8,80
BP_task_input_193 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=01EF inirq=00 input=00 btn=01 key8=FE joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,160,160 pos=8,80
BP_task_input_194 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=01F0 inirq=00 input=00 btn=01 key8=FE joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,161,160 pos=8,80
BP_task_input_195 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=01F1 inirq=00 input=00 btn=01 key8=FE joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,161,160 pos=8,80
BP_task_input_196 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=01F2 inirq=00 input=00 btn=01 key8=FE joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,161,160 pos=8,80
BP_task_input_197 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=01F3 inirq=00 input=00 btn=01 key8=FE joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,162,160 pos=8,80
space3_after pc=1A56 sp=F364 ret=19DD bank=01/02/03/03 flow=01 screen=00 irq=01FA inirq=00 input=00 btn=00 key8=FF joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,164,160 pos=8,80
