first_SPC_DOWN
second_SPC_DOWN
START_update_all_entities pc=7861 op=3A,B4,DF sp=F37A af=004C bc=0200 de=0000 hl=DEB4 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_112_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=DC44 bc=7CB7 de=52ED hl=A6E4 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_113_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=2844 bc=7B60 de=9CCD hl=A6E8 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_114_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=A644 bc=7A3A de=DCA4 hl=A6EC p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_115_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=B744 bc=7920 de=CD06 hl=A6F0 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_116_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=9544 bc=78A6 de=A43A hl=A6F4 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_117_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=DC44 bc=775F de=8BCD hl=A6F8 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_118_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=A644 bc=764F de=B57C hl=A6FC p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_119_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=2844 bc=7544 de=B77C hl=A700 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_120_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=2044 bc=7404 de=BB7D hl=A704 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_121_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=3844 bc=7333 de=937D hl=A708 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_122_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=6F44 bc=7230 de=2501 hl=A70C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_123_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=3A44 bc=714B de=B7C0 hl=A710 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_124_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=2044 bc=7011 de=4C3A hl=A714 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_125_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=C044 bc=6FB7 de=2928 hl=A718 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_126_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=3D44 bc=6E32 de=C04C hl=A71C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_127_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=3E44 bc=6DFF de=4B32 hl=A720 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_128_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=C044 bc=6C18 de=3D04 hl=A724 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_129_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=3244 bc=6B4B de=3EC0 hl=A728 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_130_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0144 bc=6A32 de=DCA3 hl=A72C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_131_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=3A44 bc=694B de=47C0 hl=A730 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_132_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=3A44 bc=684C de=B0C0 hl=A734 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_133_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=2844 bc=670B de=1859 hl=A738 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_134_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=C144 bc=667B de=5F95 hl=A73C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_135_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=AF44 bc=6567 de=186F hl=A740 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_136_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0144 bc=6459 de=327B hl=A744 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_137_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=A444 bc=63DC de=D1E1 hl=A748 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_138_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=C144 bc=62F1 de=00C9 hl=A74C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_139_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=5044 bc=61A7 de=A753 hl=A750 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_140_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=5744 bc=60A7 de=0003 hl=A754 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_141_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=7644 bc=5FA8 de=CDFF hl=A758 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_142_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=2144 bc=5E52 de=EFCD hl=A75C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_143_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=A844 bc=5D3E de=3200 hl=A760 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_144_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=4744 bc=5CC0 de=003E hl=A764 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_145_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=3244 bc=5B48 de=3EC0 hl=A768 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_146_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0344 bc=5A32 de=C04A hl=A76C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_147_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=3E44 bc=593C de=4B32 hl=A770 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_148_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=C044 bc=583E de=3200 hl=A774 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_149_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=4C44 bc=57C0 de=003E hl=A778 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_150_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=3244 bc=5646 de=C9C0 hl=A77C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_151_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0444 bc=5581 de=B8A7 hl=A780 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_152_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=A744 bc=5401 de=0000 hl=A784 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_153_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0044 bc=5303 de=0E03 hl=A788 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_154_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=9244 bc=52A7 de=0B07 hl=A78C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_155_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=9744 bc=51A7 de=0514 hl=A790 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_156_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=A144 bc=50A7 de=4554 hl=A794 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_157_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=5844 bc=4F54 de=4700 hl=A798 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_158_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=4144 bc=4E4D de=2045 hl=A79C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_159_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=4F44 bc=4D56 de=5245 hl=A7A0 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_160_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0044 bc=4C50 de=4552 hl=A7A4 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_161_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=5344 bc=4B53 de=4620 hl=A7A8 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_162_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=4944 bc=4A52 de=2045 hl=A7AC p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_163_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=5444 bc=494F de=4320 hl=A7B0 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_164_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=4F44 bc=484E de=4954 hl=A7B4 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_165_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=4E44 bc=4755 de=0045 hl=A7B8 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_166_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0044 bc=464B de=FFA7 hl=A7BC p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_167_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0344 bc=45C1 de=FCA7 hl=A7C0 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_168_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=A744 bc=4401 de=00FF hl=A7C4 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_169_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0044 bc=4300 de=0000 hl=A7C8 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_170_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0044 bc=4200 de=0000 hl=A7CC p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_171_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0044 bc=4100 de=0200 hl=A7D0 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_172_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0044 bc=40D7 de=EEA7 hl=A7D4 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_173_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=A744 bc=3FF4 de=43A7 hl=A7D8 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_174_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=4F44 bc=3E4E de=4620 hl=A7DC p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_175_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=4144 bc=3D4C de=4144 hl=A7E0 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_176_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=5344 bc=3C20 de=2059 hl=A7E4 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_177_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=4144 bc=3B20 de=4F4C hl=A7E8 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_178_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=2044 bc=3A4C de=434F hl=A7EC p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_179_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=4144 bc=3900 de=5453 hl=A7F0 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_180_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=4144 bc=3852 de=0054 hl=A7F4 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_181_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=4344 bc=3752 de=4445 hl=A7F8 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_182_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=4944 bc=3654 de=0053 hl=A7FC p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_183_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0A44 bc=358B de=0BA8 hl=A800 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_184_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0344 bc=34A8 de=04FF hl=A804 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_185_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0844 bc=33A8 de=A872 hl=A808 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_186_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0144 bc=3200 de=0000 hl=A80C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_187_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0544 bc=3103 de=210C hl=A810 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_188_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=A844 bc=3007 de=2907 hl=A814 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_189_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=A844 bc=2F08 de=3C09 hl=A818 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_190_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=A844 bc=2E09 de=4B08 hl=A81C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_191_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=A844 bc=2D14 de=5B05 hl=A820 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_192_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=A844 bc=2C43 de=4552 hl=A824 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_193_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=4444 bc=2B49 de=5354 hl=A828 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_194_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0044 bc=2A47 de=4152 hl=A82C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_195_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=5044 bc=2948 de=4349 hl=A830 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_196_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=5344 bc=2820 de=202D hl=A834 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_197_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=4D44 bc=2753 de=4E58 hl=A838 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_198_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=4144 bc=264B de=0045 hl=A83C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_199_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=4744 bc=2541 de=454D hl=A840 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_200_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=2044 bc=242D de=4D20 hl=A844 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_201_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=5344 bc=2358 de=414E hl=A848 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_202_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=4B44 bc=2245 de=4D00 hl=A84C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_203_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=5544 bc=2153 de=4349 hl=A850 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_204_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=2044 bc=202D de=4220 hl=A854 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_205_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=4F44 bc=1F55 de=434E hl=A858 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_206_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=4544 bc=1E20 de=5000 hl=A85C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_207_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=5244 bc=1D45 de=5353 hl=A860 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_208_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=2044 bc=1C46 de=5249 hl=A864 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_209_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=4544 bc=1B20 de=4F54 hl=A868 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_210_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=2044 bc=1A43 de=4E4F hl=A86C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_211_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=5444 bc=1949 de=554E hl=A870 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_212_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=4544 bc=1800 de=4B00 hl=A874 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_213_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=A744 bc=17FF de=1C0D hl=A878 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_214_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=A644 bc=167B de=00A8 hl=A87C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_215_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=7F44 bc=15A8 de=0CFF hl=A880 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_216_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=8444 bc=14A8 de=A887 hl=A884 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_217_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0144 bc=1300 de=0001 hl=A888 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_218_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=BC44 bc=12A7 de=01FF hl=A88C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_219_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=9044 bc=11A8 de=A896 hl=A890 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_220_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=3044 bc=104D de=9A00 hl=A894 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_221_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=A844 bc=0F03 de=9B00 hl=A898 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_222_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=A844 bc=0EFF de=08C9 hl=A89C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_223_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=A044 bc=0DA8 de=A8A6 hl=A8A0 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_224_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=4644 bc=0CC0 de=0001 hl=A8A4 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_225_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0044 bc=0B00 de=AD01 hl=A8A8 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_226_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=A844 bc=0A02 de=A77C hl=A8AC p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_227_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=FF44 bc=0904 de=A8B2 hl=A8B0 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_228_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=EB44 bc=08A8 de=0001 hl=A8B4 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_229_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=0044 bc=0700 de=0303 hl=A8B8 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
