first_SPC_DOWN
second_SPC_DOWN
START_update_all_entities pc=7861 op=3A,B4,DF sp=F37A af=004C bc=0200 de=0000 hl=DEB4 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_027_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=0002 bc=150B de=000A hl=DF3E p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_028_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0044 bc=150B de=000B hl=DF3F p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_029_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=0002 bc=140C de=000B hl=DF3F p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_030_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0044 bc=140C de=000C hl=DF40 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_031_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=0002 bc=130D de=000C hl=DF40 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_032_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0044 bc=130D de=000D hl=DF41 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_033_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=0002 bc=120E de=000D hl=DF41 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_034_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0044 bc=120E de=000E hl=DF42 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_035_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=0002 bc=110F de=000E hl=DF42 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_036_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0044 bc=110F de=000F hl=DF43 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
